# best fit: Y =   -106.60000 +      0.06000*X
# covariance matrix: 
# [  39602.00000,    -19.90000 ]
# [    -19.90000,      0.01000 ]
# chisq =      0.80000
fit, error: 1972.1   11.72600 +/-   2.05039
fit, error: 1972.4   11.74400 +/-   2.02425
fit, error: 1972.7   11.76200 +/-   1.99822
fit, error: 1973.0   11.78000 +/-   1.97231
fit, error: 1973.3   11.79800 +/-   1.94651
fit, error: 1973.6   11.81600 +/-   1.92083
fit, error: 1973.9   11.83400 +/-   1.89528
fit, error: 1974.2   11.85200 +/-   1.86987
fit, error: 1974.5   11.87000 +/-   1.84459
fit, error: 1974.8   11.88800 +/-   1.81945
fit, error: 1975.1   11.90600 +/-   1.79446
fit, error: 1975.4   11.92400 +/-   1.76963
fit, error: 1975.7   11.94200 +/-   1.74496
fit, error: 1976.0   11.96000 +/-   1.72047
fit, error: 1976.3   11.97800 +/-   1.69614
fit, error: 1976.6   11.99600 +/-   1.67200
fit, error: 1976.9   12.01400 +/-   1.64806
fit, error: 1977.2   12.03200 +/-   1.62432
fit, error: 1977.5   12.05000 +/-   1.60078
fit, error: 1977.8   12.06800 +/-   1.57747
fit, error: 1978.1   12.08600 +/-   1.55438
fit, error: 1978.4   12.10400 +/-   1.53154
fit, error: 1978.7   12.12200 +/-   1.50894
fit, error: 1979.0   12.14000 +/-   1.48661
fit, error: 1979.3   12.15800 +/-   1.46455
fit, error: 1979.6   12.17600 +/-   1.44278
fit, error: 1979.9   12.19400 +/-   1.42130
fit, error: 1980.2   12.21200 +/-   1.40014
fit, error: 1980.5   12.23000 +/-   1.37931
fit, error: 1980.8   12.24800 +/-   1.35882
fit, error: 1981.1   12.26600 +/-   1.33869
fit, error: 1981.4   12.28400 +/-   1.31894
fit, error: 1981.7   12.30200 +/-   1.29958
fit, error: 1982.0   12.32000 +/-   1.28062
fit, error: 1982.3   12.33800 +/-   1.26210
fit, error: 1982.6   12.35600 +/-   1.24403
fit, error: 1982.9   12.37400 +/-   1.22642
fit, error: 1983.2   12.39200 +/-   1.20930
fit, error: 1983.5   12.41000 +/-   1.19269
fit, error: 1983.8   12.42800 +/-   1.17661
fit, error: 1984.1   12.44600 +/-   1.16108
fit, error: 1984.4   12.46400 +/-   1.14612
fit, error: 1984.7   12.48200 +/-   1.13177
fit, error: 1985.0   12.50000 +/-   1.11803
fit, error: 1985.3   12.51800 +/-   1.10494
fit, error: 1985.6   12.53600 +/-   1.09252
fit, error: 1985.9   12.55400 +/-   1.08079
fit, error: 1986.2   12.57200 +/-   1.06977
fit, error: 1986.5   12.59000 +/-   1.05948
fit, error: 1986.8   12.60800 +/-   1.04995
fit, error: 1987.1   12.62600 +/-   1.04120
fit, error: 1987.4   12.64400 +/-   1.03325
fit, error: 1987.7   12.66200 +/-   1.02611
fit, error: 1988.0   12.68000 +/-   1.01980
fit, error: 1988.3   12.69800 +/-   1.01435
fit, error: 1988.6   12.71600 +/-   1.00975
fit, error: 1988.9   12.73400 +/-   1.00603
fit, error: 1989.2   12.75200 +/-   1.00319
fit, error: 1989.5   12.77000 +/-   1.00125
fit, error: 1989.8   12.78800 +/-   1.00020
fit, error: 1990.1   12.80600 +/-   1.00005
fit, error: 1990.4   12.82400 +/-   1.00080
fit, error: 1990.7   12.84200 +/-   1.00245
fit, error: 1991.0   12.86000 +/-   1.00499
fit, error: 1991.3   12.87800 +/-   1.00841
fit, error: 1991.6   12.89600 +/-   1.01272
fit, error: 1991.9   12.91400 +/-   1.01789
fit, error: 1992.2   12.93200 +/-   1.02391
fit, error: 1992.5   12.95000 +/-   1.03078
fit, error: 1992.8   12.96800 +/-   1.03846
fit, error: 1993.1   12.98600 +/-   1.04695
fit, error: 1993.4   13.00400 +/-   1.05622
fit, error: 1993.7   13.02200 +/-   1.06626
fit, error: 1994.0   13.04000 +/-   1.07703
fit, error: 1994.3   13.05800 +/-   1.08853
fit, error: 1994.6   13.07600 +/-   1.10073
fit, error: 1994.9   13.09400 +/-   1.11360
fit, error: 1995.2   13.11200 +/-   1.12712
fit, error: 1995.5   13.13000 +/-   1.14127
fit, error: 1995.8   13.14800 +/-   1.15603
fit, error: 1996.1   13.16600 +/-   1.17137
fit, error: 1996.4   13.18400 +/-   1.18727
fit, error: 1996.7   13.20200 +/-   1.20370
fit, error: 1997.0   13.22000 +/-   1.22066
fit, error: 1997.3   13.23800 +/-   1.23810
fit, error: 1997.6   13.25600 +/-   1.25603
fit, error: 1997.9   13.27400 +/-   1.27440
fit, error: 1998.2   13.29200 +/-   1.29321
fit, error: 1998.5   13.31000 +/-   1.31244
fit, error: 1998.8   13.32800 +/-   1.33207
fit, error: 1999.1   13.34600 +/-   1.35207
fit, error: 1999.4   13.36400 +/-   1.37244
fit, error: 1999.7   13.38200 +/-   1.39316
fit, error: 2000.0   13.40000 +/-   1.41421
fit, error: 2000.3   13.41800 +/-   1.43558
fit, error: 2000.6   13.43600 +/-   1.45726
fit, error: 2000.9   13.45400 +/-   1.47922
fit, error: 2001.2   13.47200 +/-   1.50147
fit, error: 2001.5   13.49000 +/-   1.52398
fit, error: 2001.8   13.50800 +/-   1.54674
fit, error: 2002.1   13.52600 +/-   1.56975
fit, error: 2002.4   13.54400 +/-   1.59298
fit, error: 2002.7   13.56200 +/-   1.61645
fit, error: 2003.0   13.58000 +/-   1.64012
fit, error: 2003.3   13.59800 +/-   1.66400
fit, error: 2003.6   13.61600 +/-   1.68808
fit, error: 2003.9   13.63400 +/-   1.71234
fit, error: 2004.2   13.65200 +/-   1.73678
fit, error: 2004.5   13.67000 +/-   1.76139
fit, error: 2004.8   13.68800 +/-   1.78617
fit, error: 2005.1   13.70600 +/-   1.81110
fit, error: 2005.4   13.72400 +/-   1.83619
fit, error: 2005.7   13.74200 +/-   1.86142
fit, error: 2006.0   13.76000 +/-   1.88680
fit, error: 2006.3   13.77800 +/-   1.91230
fit, error: 2006.6   13.79600 +/-   1.93794
fit, error: 2006.9   13.81400 +/-   1.96370
fit, error: 2007.2   13.83200 +/-   1.98957
fit, error: 2007.5   13.85000 +/-   2.01556
fit, error: 2007.8   13.86800 +/-   2.04167
fit, error: 2008.1   13.88600 +/-   2.06787
fit, error: 2008.4   13.90400 +/-   2.09418
fit, error: 2008.7   13.92200 +/-   2.12059
